,subject,OE,TH,OE_TH,TW,PR,OR,TOT,CRD,GRD,PTS1,PTS2
929,214445,031/050,029/050,060/100,--,--,--,85,01,O,10,10
930,214446,--,--,--,023/025,041/050,--,92,02,O,10,20
931,214447,--,--,--,023/025,046/050,--,78,01,A+,09,09
932,214448,--,--,--,023/025,036/050,--,84,01,O,10,10
933,214449,--,--,--,021/025,--,--,PP,00,P,00,00
934,202054A,--,--,--,PP,--,--,PP,00,P,00,00
935,210250,--,--,--,PP,--,--,50,04,B,06,24
936,214442,024/050,026/050,050/100,--,--,--,50,04,B,06,24
937,214443,025/050,025/050,050/100,--,--,--,43,04,P,04,16
938,214444,017/050,026/050,043/100,--,--,--,53,04,B,06,24
939,214445,028/050,025/050,053/100,--,--,--,76,01,A+,09,09
940,214446,--,--,--,022/025,035/050,--,58,02,B+,07,14
941,214447,--,--,--,022/025,022/050,--,78,01,A+,09,09
942,214448,--,--,--,023/025,036/050,--,84,01,O,10,10
943,214449,--,--,--,021/025,--,--,88,01,O,10,10
944,207003,--,--,--,022/025,--,--,55,03,B+,07,21
945,214450,022/050,033/050,055/100,--,--,--,47,04,C,05,20
946,214451,025/050,022/050,047/100,--,--,--,46,04,C,05,20
947,214452,024/050,022/050,046/100,--,--,--,61,04,A,08,32
948,214453,041/050,020/050,061/100,--,--,--,72,02,A+,09,18
949,214454,--,--,--,021/025,033/050,--,84,02,O,10,20
950,214455,--,--,--,022/025,041/050,--,90,01,O,10,10
951,214456,--,--,--,021/025,047/050,--,PP,00,P,00,00
952,214458,--,--,--,PP,--,--,79,04,A+,09,36
953,214441,047/050,032/050,079/100,--,--,--,55,04,B+,07,28
954,214442,031/050,024/050,055/100,--,--,--,70,04,A+,09,36
955,214443,036/050,034/050,070/100,--,--,--,50,04,B,06,24
956,214444,030/050,020/050,050/100,--,--,--,51,04,B,06,24
957,214445,030/050,021/050,051/100,--,--,--,78,01,A+,09,09
958,214446,--,--,--,023/025,036/050,--,81,02,O,10,20
959,214447,--,--,--,023/025,038/050,--,78,01,A+,09,09
960,214448,--,--,--,023/025,036/050,--,88,01,O,10,10
961,214449,--,--,--,022/025,--,--,PP,00,P,00,00
962,202054A,--,--,--,PP,--,--,48,04,C,05,20
963,214442,021/050,027/050,048/100,--,--,--,45,04,C,05,20
964,214443,019/050,026/050,045/100,--,--,--,42,04,P,04,16
965,214444,016/050,026/050,042/100,--,--,--,49,04,C,05,20
966,214445,023/050,026/050,049/100,--,--,--,61,01,A,08,08
967,214446,--,--,--,021/025,025/050,--,82,02,O,10,20
968,214447,--,--,--,022/025,040/050,--,80,01,O,10,10
969,214448,--,--,--,021/025,039/050,--,88,01,O,10,10
970,214449,--,--,--,022/025,--,--,PP,00,P,00,00
971,202054A,--,--,--,PP,--,--,62,04,A,08,32
972,214441,032/050,030/050,062/100,--,--,--,68,04,A,08,32
973,214442,036/050,032/050,068/100,--,--,--,55,04,B+,07,28
974,214443,028/050,027/050,055/100,--,--,--,65,04,A,08,32
975,214444,027/050,038/050,065/100,--,--,--,63,04,A,08,32
976,214445,030/050,033/050,063/100,--,--,--,62,01,A,08,08
977,214446,--,--,--,022/025,025/050,--,80,02,O,10,20
978,214447,--,--,--,022/025,038/050,--,80,01,O,10,10
979,214448,--,--,--,022/025,038/050,--,80,01,O,10,10
980,214449,--,--,--,020/025,--,--,PP,00,P,00,00
981,202054A,--,--,--,PP,--,--,51,04,B,06,24
982,214442,031/050,020/050,051/100,--,--,--,50,04,B,06,24
983,214444,029/050,021/050,050/100,--,--,--,41,04,P,04,16
984,214445,017/050,024/050,041/100,--,--,--,62,01,A,08,08
985,214446,--,--,--,021/025,026/050,--,78,02,A+,09,18
986,214447,--,--,--,022/025,037/050,--,66,01,A,08,08
987,214448,--,--,--,021/025,029/050,--,80,01,O,10,10
988,214449,--,--,--,020/025,--,--,PP,00,P,00,00
989,202054A,--,--,--,PP,--,--,PP,00,P,00,00
990,210250,--,--,--,PP,--,--,42,04,P,04,16
991,214442,019/050,023/050,042/100,--,--,--,50,04,B,06,24
992,214443,023/050,027/050,050/100,--,--,--,51,04,B,06,24
993,214444,028/050,023/050,051/100,--,--,--,49,04,C,05,20
994,214445,027/050,022/050,049/100,--,--,--,54,01,B,06,06
995,214446,--,--,--,021/025,020/050,--,78,02,A+,09,18
996,214447,--,--,--,023/025,036/050,--,76,01,A+,09,09
997,214448,--,--,--,022/025,035/050,--,80,01,O,10,10
998,214449,--,--,--,020/025,--,--,41,04,P,04,16
999,207003,021/050,20$/050,041/100,--,--,--,80,01,O,10,10
1000,207003,--,--,--,020/025,--,--,50,03,B,06,18
1001,214450,022/050,028/050,050/100,--,--,--,41,04,P,04,16
1002,214451,015/050,026/050,041/100,--,--,--,52,04,B,06,24
1003,214452,024/050,028/050,052/100,--,--,--,51,04,B,06,24
1004,214453,029/050,022/050,051/100,--,--,--,65,02,A,08,16
1005,214454,--,--,--,019/025,030/050,--,82,02,O,10,20
1006,214455,--,--,--,021/025,041/050,--,84,01,O,10,10
1007,214456,--,--,--,021/025,042/050,--,PP,00,P,00,00
1008,214458,--,--,--,PP,--,--,59,04,B+,07,28
1009,214441,039/050,020/050,059/100,--,--,--,56,04,B+,07,28
1010,214443,030/050,026/050,056/100,--,--,--,46,04,C,05,20
1011,214444,018/050,028/050,046/100,--,--,--,54,04,B,06,24
1012,214445,028/050,026/050,054/100,--,--,--,64,02,A,08,16
1013,214447,--,--,--,023/025,025/050,--,72,01,A+,09,09
1014,214449,--,--,--,018/025,--,--,PP,00,P,00,00
1015,202054A,--,--,--,PP,--,--,PP,00,P,00,00
1016,210250,--,--,--,PP,--,--,69,04,A,08,32
1017,214441,035/050,034/050,069/100,--,--,--,58,04,B+,07,28
1018,214442,031/050,027/050,058/100,--,--,--,58,04,B+,07,28
1019,214443,031/050,027/050,058/100,--,--,--,59,04,B+,07,28
1020,214444,032/050,027/050,059/100,--,--,--,60,04,A,08,32
1021,214445,035/050,025/050,060/100,--,--,--,68,02,A,08,16
1022,214447,--,--,--,019/025,032/050,--,61,01,A,08,08
1023,214448,--,--,--,021/025,025/050,--,80,01,O,10,10
1024,214449,--,--,--,020/025,--,--,70,04,A+,09,36
1025,207003,035/050,035/050,070/100,--,--,--,68,01,A,08,08
1026,207003,--,--,--,017/025,--,--,53,03,B,06,18
1027,214450,027/050,026/050,053/100,--,--,--,53,04,B,06,24
1028,214451,030/050,023/050,053/100,--,--,--,60,04,A,08,32
1029,214452,033/050,027/050,060/100,--,--,--,66,04,A,08,32
1030,214453,036/050,030/050,066/100,--,--,--,58,02,B+,07,14
1031,214454,--,--,--,016/025,028/050,--,50,02,B,06,12
1032,214455,--,--,--,016/025,022/050,--,78,01,A+,09,09
1033,214456,--,--,--,017/025,042/050,--,PP,00,P,00,00
1034,214458,--,--,--,PP,--,--,47,04,C,05,20
1035,214442,025/050,022/050,047/100,--,--,--,54,04,B,06,24
1036,214444,027/050,027/050,054/100,--,--,--,51,04,B,06,24
1037,214445,031/050,020/050,051/100,--,--,--,49,01,C,05,05
