,Unnamed: 0,Unnamed: 0,subject,subject,OE,OE,TH,TH,OE_TH,OE_TH,TW,TW,PR,PR,OR,OR,TOT,TOT,CRD,CRD,GRD,GRD,PTS1,PTS1,PTS2,PTS2,Unnamed: 0,Unnamed: 0,subject,subject,OE,OE,TH,TH,OE_TH,OE_TH,TW,TW,PR,PR,OR,OR,TOT,TOT,CRD,CRD,GRD,GRD,PTS1,PTS1,PTS2,PTS2
48,48,48,214441,214442,019/050,029/050,033/050,020/050,052/100,049/100,--,--,--,--,--,--,52,49,4,4,B,C,6,5,24,20,48,48,214441,214442,019/050,029/050,033/050,020/050,052/100,049/100,--,--,--,--,--,--,52,49,4,4,B,C,6,5,24,20
49,49,49,214441,214442,035/050,032/050,027/050,023/050,062/100,055/100,--,--,--,--,--,--,62,55,4,4,A,B+,8,7,32,28,49,49,214441,214442,035/050,032/050,027/050,023/050,062/100,055/100,--,--,--,--,--,--,62,55,4,4,A,B+,8,7,32,28
50,50,50,214441,214442,020/050,023/050,020/050,020/050,040/100,043/100,--,--,--,--,--,--,40,43,4,4,P,P,4,4,16,16,50,50,214441,214442,020/050,023/050,020/050,020/050,040/100,043/100,--,--,--,--,--,--,40,43,4,4,P,P,4,4,16,16
51,51,51,214441,214442,032/050,030/050,027/050,024/050,059/100,054/100,--,--,--,--,--,--,59,54,4,4,B+,B,7,6,28,24,51,51,214441,214442,032/050,030/050,027/050,024/050,059/100,054/100,--,--,--,--,--,--,59,54,4,4,B+,B,7,6,28,24
52,52,52,214441,214442,036/050,027/050,026/050,020/050,062/100,047/100,--,--,--,--,--,--,62,47,4,4,A,C,8,5,32,20,52,52,214441,214442,036/050,027/050,026/050,020/050,062/100,047/100,--,--,--,--,--,--,62,47,4,4,A,C,8,5,32,20
53,53,53,214441,214442,028/050,031/050,026/050,027/050,054/100,058/100,--,--,--,--,--,--,54,58,4,4,B,B+,6,7,24,28,53,53,214441,214442,028/050,031/050,026/050,027/050,054/100,058/100,--,--,--,--,--,--,54,58,4,4,B,B+,6,7,24,28
54,54,54,214441,214442,021/050,024/050,024/050,AB/050,045/100,024/100,--,--,--,--,--,--,45,FF,4,4,C,F,5,0,20,0,54,54,214441,214442,021/050,024/050,024/050,AB/050,045/100,024/100,--,--,--,--,--,--,45,FF,4,4,C,F,5,0,20,0
55,55,55,214441,214442,027/050,027/050,032/050,022/050,059/100,049/100,--,--,--,--,--,--,59,49,4,4,B+,C,7,5,28,20,55,55,214441,214442,027/050,027/050,032/050,022/050,059/100,049/100,--,--,--,--,--,--,59,49,4,4,B+,C,7,5,28,20
56,56,56,214441,214442,025/050,023/050,021/050,022/050,046/100,045/100,--,--,--,--,--,--,46,45,4,4,C,C,5,5,20,20,56,56,214441,214442,025/050,023/050,021/050,022/050,046/100,045/100,--,--,--,--,--,--,46,45,4,4,C,C,5,5,20,20
57,57,57,214441,214442,033/050,029/050,032/050,027/050,065/100,056/100,--,--,--,--,--,--,65,56,4,4,A,B+,8,7,32,28,57,57,214441,214442,033/050,029/050,032/050,027/050,065/100,056/100,--,--,--,--,--,--,65,56,4,4,A,B+,8,7,32,28
58,58,58,214441,214442,036/050,027/050,024/050,011/050,060/100,038/100,--,--,--,--,--,--,60,FF,4,4,A,F,8,0,32,0,58,58,214441,214442,036/050,027/050,024/050,011/050,060/100,038/100,--,--,--,--,--,--,60,FF,4,4,A,F,8,0,32,0
59,59,59,214441,214442,031/050,027/050,023/050,026/050,054/100,053/100,--,--,--,--,--,--,54,53,4,4,B,B,6,6,24,24,59,59,214441,214442,031/050,027/050,023/050,026/050,054/100,053/100,--,--,--,--,--,--,54,53,4,4,B,B,6,6,24,24
60,60,60,214441,214442,010/050,032/050,30$/050,023/050,040/100,055/100,--,--,--,--,--,--,40,55,4,4,P,B+,4,7,16,28,60,60,214441,214442,010/050,032/050,30$/050,023/050,040/100,055/100,--,--,--,--,--,--,40,55,4,4,P,B+,4,7,16,28
61,61,61,214441,214442,028/050,021/050,029/050,011/050,057/100,032/100,--,--,--,--,--,--,57,FF,4,4,B+,F,7,0,28,0,61,61,214441,214442,028/050,021/050,029/050,011/050,057/100,032/100,--,--,--,--,--,--,57,FF,4,4,B+,F,7,0,28,0
62,62,62,214441,214442,024/050,024/050,024/050,020/050,048/100,044/100,--,--,--,--,--,--,48,44,4,4,C,P,5,4,20,16,62,62,214441,214442,024/050,024/050,024/050,020/050,048/100,044/100,--,--,--,--,--,--,48,44,4,4,C,P,5,4,20,16
63,63,63,214441,214442,023/050,024/050,020/050,026/050,043/100,050/100,--,--,--,--,--,--,43,50,4,4,P,B,4,6,16,24,63,63,214441,214442,023/050,024/050,020/050,026/050,043/100,050/100,--,--,--,--,--,--,43,50,4,4,P,B,4,6,16,24
64,64,64,214441,214442,037/050,031/050,024/050,025/050,061/100,056/100,--,--,--,--,--,--,61,56,4,4,A,B+,8,7,32,28,64,64,214441,214442,037/050,031/050,024/050,025/050,061/100,056/100,--,--,--,--,--,--,61,56,4,4,A,B+,8,7,32,28
65,65,65,214441,214442,030/050,024/050,028/050,032/050,058/100,056/100,--,--,--,--,--,--,58,56,4,4,B+,B+,7,7,28,28,65,65,214441,214442,030/050,024/050,028/050,032/050,058/100,056/100,--,--,--,--,--,--,58,56,4,4,B+,B+,7,7,28,28
66,66,66,214441,214442,011/050,018/050,AB/050,006/050,011/100,024/100,--,--,--,--,--,--,FF,FF,4,4,F,F,0,0,0,0,66,66,214441,214442,011/050,018/050,AB/050,006/050,011/100,024/100,--,--,--,--,--,--,FF,FF,4,4,F,F,0,0,0,0
67,67,67,214441,214442,032/050,031/050,025/050,024/050,057/100,055/100,--,--,--,--,--,--,57,55,4,4,B+,B+,7,7,28,28,67,67,214441,214442,032/050,031/050,025/050,024/050,057/100,055/100,--,--,--,--,--,--,57,55,4,4,B+,B+,7,7,28,28
68,68,68,214441,214442,019/050,030/050,025/050,023/050,044/100,053/100,--,--,--,--,--,--,44,53,4,4,P,B,4,6,16,24,68,68,214441,214442,019/050,030/050,025/050,023/050,044/100,053/100,--,--,--,--,--,--,44,53,4,4,P,B,4,6,16,24
69,69,69,214441,214442,030/050,020/050,020/050,020/050,050/100,040/100,--,--,--,--,--,--,50,40,4,4,B,P,6,4,24,16,69,69,214441,214442,030/050,020/050,020/050,020/050,050/100,040/100,--,--,--,--,--,--,50,40,4,4,B,P,6,4,24,16
70,70,70,214441,214442,035/050,036/050,026/050,022/050,061/100,058/100,--,--,--,--,--,--,61,58,4,4,A,B+,8,7,32,28,70,70,214441,214442,035/050,036/050,026/050,022/050,061/100,058/100,--,--,--,--,--,--,61,58,4,4,A,B+,8,7,32,28
71,71,71,214441,214442,034/050,022/050,020/050,005/050,054/100,027/100,--,--,--,--,--,--,54,FF,4,4,B,F,6,0,24,0,71,71,214441,214442,034/050,022/050,020/050,005/050,054/100,027/100,--,--,--,--,--,--,54,FF,4,4,B,F,6,0,24,0
72,72,72,214441,214442,032/050,040/050,022/050,030/050,054/100,070/100,--,--,--,--,--,--,54,70,4,4,B,A+,6,9,24,36,72,72,214441,214442,032/050,040/050,022/050,030/050,054/100,070/100,--,--,--,--,--,--,54,70,4,4,B,A+,6,9,24,36
73,73,73,214441,214442,012/050,029/050,006/050,AB/050,018/100,029/100,--,--,--,--,--,--,FF,FF,4,4,F,F,0,0,0,0,73,73,214441,214442,012/050,029/050,006/050,AB/050,018/100,029/100,--,--,--,--,--,--,FF,FF,4,4,F,F,0,0,0,0
74,74,74,214441,214442,021/050,031/050,029/050,021/050,050/100,052/100,--,--,--,--,--,--,50,52,4,4,B,B,6,6,24,24,74,74,214441,214442,021/050,031/050,029/050,021/050,050/100,052/100,--,--,--,--,--,--,50,52,4,4,B,B,6,6,24,24
75,75,75,214441,214442,025/050,021/050,021/050,024/050,046/100,045/100,--,--,--,--,--,--,46,45,4,4,C,C,5,5,20,20,75,75,214441,214442,025/050,021/050,021/050,024/050,046/100,045/100,--,--,--,--,--,--,46,45,4,4,C,C,5,5,20,20
76,76,76,214441,214442,023/050,028/050,024/050,022/050,047/100,050/100,--,--,--,--,--,--,47,50,4,4,C,B,5,6,20,24,76,76,214441,214442,023/050,028/050,024/050,022/050,047/100,050/100,--,--,--,--,--,--,47,50,4,4,C,B,5,6,20,24
