,OE,OE,OE,TH,TH,TH,OE_TH,OE_TH,OE_TH,TW,TW,TW,PR,PR,PR,OR,OR,OR,TOT,TOT,TOT,CRD,CRD,CRD,GRD,GRD,GRD,PTS1,PTS1,PTS1,PTS2,PTS2,PTS2,OE,OE,OE,TH,TH,TH,OE_TH,OE_TH,OE_TH,TW,TW,TW,PR,PR,PR,OR,OR,OR,TOT,TOT,TOT,CRD,CRD,CRD,GRD,GRD,GRD,PTS1,PTS1,PTS1,PTS2,PTS2,PTS2,OE,OE,OE,TH,TH,TH,OE_TH,OE_TH,OE_TH,TW,TW,TW,PR,PR,PR,OR,OR,OR,TOT,TOT,TOT,CRD,CRD,CRD,GRD,GRD,GRD,PTS1,PTS1,PTS1,PTS2,PTS2,PTS2
20,013/050,027/050,016/050,017/050,020/050,012/050,030/100,047/100,028/100,--,--,--,--,--,--,--,--,--,FF,47,FF,4,4,4,F,C,F,0,5,0,0,20,0,013/050,027/050,016/050,017/050,020/050,012/050,030/100,047/100,028/100,--,--,--,--,--,--,--,--,--,FF,47,FF,4,4,4,F,C,F,0,5,0,0,20,0,013/050,027/050,016/050,017/050,020/050,012/050,030/100,047/100,028/100,--,--,--,--,--,--,--,--,--,FF,47,FF,4,4,4,F,C,F,0,5,0,0,20,0
21,025/050,033/050,024/050,026/050,028/050,025/050,051/100,061/100,049/100,--,--,--,--,--,--,--,--,--,51,61,49,4,4,4,B,A,C,6,8,5,24,32,20,025/050,033/050,024/050,026/050,028/050,025/050,051/100,061/100,049/100,--,--,--,--,--,--,--,--,--,51,61,49,4,4,4,B,A,C,6,8,5,24,32,20,025/050,033/050,024/050,026/050,028/050,025/050,051/100,061/100,049/100,--,--,--,--,--,--,--,--,--,51,61,49,4,4,4,B,A,C,6,8,5,24,32,20
22,034/050,034/050,042/050,028/050,031/050,030/050,062/100,065/100,072/100,--,--,--,--,--,--,--,--,--,62,65,72,4,4,4,A,A,A+,8,8,9,32,32,36,034/050,034/050,042/050,028/050,031/050,030/050,062/100,065/100,072/100,--,--,--,--,--,--,--,--,--,62,65,72,4,4,4,A,A,A+,8,8,9,32,32,36,034/050,034/050,042/050,028/050,031/050,030/050,062/100,065/100,072/100,--,--,--,--,--,--,--,--,--,62,65,72,4,4,4,A,A,A+,8,8,9,32,32,36
23,024/050,017/050,026/050,007/050,027/050,020/050,031/100,044/100,046/100,--,--,--,--,--,--,--,--,--,FF,44,46,4,4,4,F,P,C,0,4,5,0,16,20,024/050,017/050,026/050,007/050,027/050,020/050,031/100,044/100,046/100,--,--,--,--,--,--,--,--,--,FF,44,46,4,4,4,F,P,C,0,4,5,0,16,20,024/050,017/050,026/050,007/050,027/050,020/050,031/100,044/100,046/100,--,--,--,--,--,--,--,--,--,FF,44,46,4,4,4,F,P,C,0,4,5,0,16,20
24,016/050,023/050,025/050,017/050,025/050,020/050,033/100,048/100,045/100,--,--,--,--,--,--,--,--,--,FF,48,45,4,4,4,F,C,C,0,5,5,0,20,20,016/050,023/050,025/050,017/050,025/050,020/050,033/100,048/100,045/100,--,--,--,--,--,--,--,--,--,FF,48,45,4,4,4,F,C,C,0,5,5,0,20,20,016/050,023/050,025/050,017/050,025/050,020/050,033/100,048/100,045/100,--,--,--,--,--,--,--,--,--,FF,48,45,4,4,4,F,C,C,0,5,5,0,20,20
25,019/050,026/050,020/050,014/050,021/050,017/050,033/100,047/100,037/100,--,--,--,--,--,--,--,--,--,FF,47,FF,4,4,4,F,C,F,0,5,0,0,20,0,019/050,026/050,020/050,014/050,021/050,017/050,033/100,047/100,037/100,--,--,--,--,--,--,--,--,--,FF,47,FF,4,4,4,F,C,F,0,5,0,0,20,0,019/050,026/050,020/050,014/050,021/050,017/050,033/100,047/100,037/100,--,--,--,--,--,--,--,--,--,FF,47,FF,4,4,4,F,C,F,0,5,0,0,20,0
26,014/050,031/050,019/050,011/050,020/050,021/050,025/100,051/100,040/100,--,--,--,--,--,--,--,--,--,FF,51,40,4,4,4,F,B,P,0,6,4,0,24,16,014/050,031/050,019/050,011/050,020/050,021/050,025/100,051/100,040/100,--,--,--,--,--,--,--,--,--,FF,51,40,4,4,4,F,B,P,0,6,4,0,24,16,014/050,031/050,019/050,011/050,020/050,021/050,025/100,051/100,040/100,--,--,--,--,--,--,--,--,--,FF,51,40,4,4,4,F,B,P,0,6,4,0,24,16
27,017/050,019/050,034/050,23$/050,028/050,021/050,040/100,047/100,055/100,--,--,--,--,--,--,--,--,--,40,47,55,4,4,4,P,C,B+,4,5,7,16,20,28,017/050,019/050,034/050,23$/050,028/050,021/050,040/100,047/100,055/100,--,--,--,--,--,--,--,--,--,40,47,55,4,4,4,P,C,B+,4,5,7,16,20,28,017/050,019/050,034/050,23$/050,028/050,021/050,040/100,047/100,055/100,--,--,--,--,--,--,--,--,--,40,47,55,4,4,4,P,C,B+,4,5,7,16,20,28
28,028/050,023/050,035/050,032/050,030/050,029/050,060/100,053/100,064/100,--,--,--,--,--,--,--,--,--,60,53,64,4,4,4,A,B,A,8,6,8,32,24,32,028/050,023/050,035/050,032/050,030/050,029/050,060/100,053/100,064/100,--,--,--,--,--,--,--,--,--,60,53,64,4,4,4,A,B,A,8,6,8,32,24,32,028/050,023/050,035/050,032/050,030/050,029/050,060/100,053/100,064/100,--,--,--,--,--,--,--,--,--,60,53,64,4,4,4,A,B,A,8,6,8,32,24,32
29,033/050,020/050,024/050,030/050,025/050,008/050,063/100,045/100,032/100,--,--,--,--,--,--,--,--,--,63,45,FF,4,4,4,A,C,F,8,5,0,32,20,0,033/050,020/050,024/050,030/050,025/050,008/050,063/100,045/100,032/100,--,--,--,--,--,--,--,--,--,63,45,FF,4,4,4,A,C,F,8,5,0,32,20,0,033/050,020/050,024/050,030/050,025/050,008/050,063/100,045/100,032/100,--,--,--,--,--,--,--,--,--,63,45,FF,4,4,4,A,C,F,8,5,0,32,20,0
