,subject,OE,TH,OE_TH,TW,PR,OR,TOT,CRD,GRD,PTS1,PTS2
2937,214449,--,--,--,019/025,--,--,76,01,A+,09,09
2938,202054A,--,--,--,PP,--,--,PP,00,P,00,00
2939,207003,016/050,003/050,019/100,--,--,--,FF,04,F,00,00
2940,207003,--,--,--,018/025,--,--,72,01,A+,09,09
2941,214450,025/050,20$/050,045/100,--,--,--,45,03,C,05,15
2942,214451,032/050,001/050,033/100,--,--,--,FF,04,F,00,00
2943,214452,026/050,007/050,033/100,--,--,--,FF,04,F,00,00
2944,214453,026/050,008/050,034/100,--,--,--,FF,04,F,00,00
2945,214454,--,--,--,018/025,028/050,--,61,02,A,08,16
2946,214455,--,--,--,019/025,035/050,--,72,02,A+,09,18
2947,214456,--,--,--,019/025,042/050,--,81,01,O,10,10
2948,210258A,--,--,--,PP,--,--,PP,00,P,00,00
2949,210250,--,--,--,PP,--,--,PP,00,P,00,00
2950,214441,023/050,023/050,046/100,--,--,--,46,04,C,05,20
2951,214442,030/050,028/050,058/100,--,--,--,58,04,B+,07,28
2952,214443,035/050,020/050,055/100,--,--,--,55,04,B+,07,28
2953,214444,028/050,027/050,055/100,--,--,--,55,04,B+,07,28
2954,214445,025/050,029/050,054/100,--,--,--,54,04,B,06,24
2955,214446,--,--,--,022/025,035/050,--,76,01,A+,09,09
2956,214447,--,--,--,023/025,030/050,--,70,02,A+,09,18
2957,214448,--,--,--,023/025,030/050,--,70,01,A+,09,09
2958,214449,--,--,--,022/025,--,--,88,01,O,10,10
2959,207003,026/050,029/050,055/100,--,--,--,55,04,B+,07,28
2960,207003,--,--,--,019/025,--,--,76,01,A+,09,09
2961,214450,023/050,031/050,054/100,--,--,--,54,03,B,06,18
2962,214451,026/050,026/050,052/100,--,--,--,52,04,B,06,24
2963,214452,026/050,027/050,053/100,--,--,--,53,04,B,06,24
2964,214453,034/050,034/050,068/100,--,--,--,68,04,A,08,32
2965,214454,--,--,--,021/025,025/050,--,61,02,A,08,16
2966,214455,--,--,--,019/025,038/050,--,76,02,A+,09,18
2967,214456,--,--,--,020/025,040/050,--,80,01,O,10,10
2968,214458,--,--,--,PP,--,--,PP,00,P,00,00
2969,214441,038/050,037/050,075/100,--,--,--,75,04,A+,09,36
2970,214442,031/050,025/050,056/100,--,--,--,56,04,B+,07,28
2971,214443,030/050,030/050,060/100,--,--,--,60,04,A,08,32
2972,214444,025/050,036/050,061/100,--,--,--,61,04,A,08,32
2973,214445,038/050,039/050,077/100,--,--,--,77,04,A+,09,36
2974,214446,--,--,--,022/025,041/050,--,84,01,O,10,10
2975,214447,--,--,--,020/025,040/050,--,80,02,O,10,20
2976,214448,--,--,--,020/025,040/050,--,80,01,O,10,10
2977,214449,--,--,--,023/025,--,--,92,01,O,10,10
2978,202054A,--,--,--,PP,--,--,PP,00,P,00,00
2979,207003,025/050,028/050,053/100,--,--,--,53,04,B,06,24
2980,207003,--,--,--,016/025,--,--,64,01,A,08,08
2981,214450,026/050,029/050,055/100,--,--,--,55,03,B+,07,21
2982,214451,022/050,023/050,045/100,--,--,--,45,04,C,05,20
2983,214452,031/050,025/050,056/100,--,--,--,56,04,B+,07,28
2984,214453,022/050,020/050,042/100,--,--,--,42,04,P,04,16
2985,214454,--,--,--,021/025,025/050,--,61,02,A,08,16
2986,214455,--,--,--,018/025,037/050,--,73,02,A+,09,18
2987,214456,--,--,--,020/025,043/050,--,84,01,O,10,10
2988,210258D,--,--,--,PP,--,--,PP,00,P,00,00
2989,210250,--,--,--,PP,--,--,PP,00,P,00,00
2990,214441,023/050,021/050,044/100,--,--,--,44,04,P,04,16
2991,214442,023/050,029/050,052/100,--,--,--,52,04,B,06,24
2992,214443,013/050,028/050,041/100,--,--,--,41,04,P,04,16
2993,214444,021/050,022/050,043/100,--,--,--,43,04,P,04,16
2994,214445,024/050,021/050,045/100,--,--,--,45,04,C,05,20
2995,214446,--,--,--,022/025,020/050,--,56,01,B+,07,07
2996,214447,--,--,--,021/025,032/050,--,70,02,A+,09,18
2997,214448,--,--,--,021/025,021/050,--,56,01,B+,07,07
2998,214449,--,--,--,020/025,--,--,80,01,O,10,10
2999,207003,--,--,--,015/025,--,--,60,01,A,08,08
3000,214450,023/050,023/050,046/100,--,--,--,46,03,C,05,15
3001,214451,026/050,025/050,051/100,--,--,--,51,04,B,06,24
3002,214452,022/050,033/050,055/100,--,--,--,55,04,B+,07,28
3003,214453,021/050,037/050,058/100,--,--,--,58,04,B+,07,28
3004,214454,--,--,--,015/025,022/050,--,49,02,C,05,10
3005,214455,--,--,--,015/025,030/050,--,60,02,A,08,16
3006,214456,--,--,--,015/025,035/050,--,66,01,A,08,08
3007,214458,--,--,--,PP,--,--,PP,00,P,00,00
3008,214441,024/050,027/050,051/100,--,--,--,51,04,B,06,24
3009,214442,033/050,035/050,068/100,--,--,--,68,04,A,08,32
3010,214443,030/050,031/050,061/100,--,--,--,61,04,A,08,32
3011,214444,024/050,029/050,053/100,--,--,--,53,04,B,06,24
3012,214445,023/050,032/050,055/100,--,--,--,55,04,B+,07,28
3013,214446,--,--,--,020/025,030/050,--,66,01,A,08,08
3014,214447,--,--,--,021/025,035/050,--,74,02,A+,09,18
3015,214448,--,--,--,020/025,028/050,--,64,01,A,08,08
3016,214449,--,--,--,019/025,--,--,76,01,A+,09,09
3017,202054A,--,--,--,PP,--,--,PP,00,P,00,00
3018,207003,037/050,029/050,066/100,--,--,--,66,04,A,08,32
3019,207003,--,--,--,023/025,--,--,92,01,O,10,10
3020,214450,024/050,029/050,053/100,--,--,--,53,03,B,06,18
3021,214452,031/050,030/050,061/100,--,--,--,61,04,A,08,32
3022,214453,032/050,026/050,058/100,--,--,--,58,04,B+,07,28
3023,214454,--,--,--,020/025,025/050,--,60,02,A,08,16
3024,214455,--,--,--,020/025,038/050,--,77,02,A+,09,18
3025,214456,--,--,--,022/025,040/050,--,82,01,O,10,10
3026,210258A,--,--,--,PP,--,--,PP,00,P,00,00
3027,214441,023/050,034/050,057/100,--,--,--,57,04,B+,07,28
3028,214442,024/050,027/050,051/100,--,--,--,51,04,B,06,24
3029,214443,026/050,020/050,046/100,--,--,--,46,04,C,05,20
3030,214444,017/050,031/050,048/100,--,--,--,48,04,C,05,20
3031,214445,030/050,024/050,054/100,--,--,--,54,04,B,06,24
3032,214446,--,--,--,020/025,022/050,--,56,01,B+,07,07
3033,214447,--,--,--,020/025,032/050,--,69,02,A,08,16
3034,214448,--,--,--,020/025,032/050,--,69,01,A,08,08
3035,214449,--,--,--,020/025,--,--,80,01,O,10,10
3036,202054A,--,--,--,PP,--,--,PP,00,P,00,00
3037,207003,035/050,030/050,065/100,--,--,--,65,04,A,08,32
3038,207003,--,--,--,016/025,--,--,64,01,A,08,08
3039,214450,030/050,025/050,055/100,--,--,--,55,03,B+,07,21
3040,214451,025/050,014/050,039/100,--,--,--,FF,04,F,00,00
3041,214452,031/050,020/050,051/100,--,--,--,51,04,B,06,24
3042,214453,027/050,020/050,047/100,--,--,--,47,04,C,05,20
3043,214454,--,--,--,019/025,033/050,--,69,02,A,08,16
3044,214455,--,--,--,020/025,035/050,--,73,02,A+,09,18
3045,214456,--,--,--,020/025,039/050,--,78,01,A+,09,09
3046,210258A,--,--,--,PP,--,--,PP,00,P,00,00
3047,214441,032/050,030/050,062/100,--,--,--,62,04,A,08,32
3048,214442,022/050,020/050,042/100,--,--,--,42,04,P,04,16
3049,214443,030/050,022/050,052/100,--,--,--,52,04,B,06,24
3050,214444,022/050,038/050,060/100,--,--,--,60,04,A,08,32
3051,214445,029/050,020/050,049/100,--,--,--,49,04,C,05,20
3052,214446,--,--,--,019/025,021/050,--,53,01,B,06,06
3053,214447,--,--,--,019/025,035/050,--,72,02,A+,09,18
3054,214448,--,--,--,018/025,035/050,--,70,01,A+,09,09
3055,214449,--,--,--,017/025,--,--,68,01,A,08,08
3056,202054A,--,--,--,PP,--,--,PP,00,P,00,00
3057,207003,035/050,022/050,057/100,--,--,--,57,04,B+,07,28
3058,207003,--,--,--,019/025,--,--,76,01,A+,09,09
3059,214450,032/050,013/050,045/100,--,--,--,FF,03,F,00,00
3060,214451,015/050,003/050,018/100,--,--,--,FF,04,F,00,00
3061,214452,032/050,029/050,061/100,--,--,--,61,04,A,08,32
3062,214453,035/050,021/050,056/100,--,--,--,56,04,B+,07,28
3063,214454,--,--,--,022/025,030/050,--,69,02,A,08,16
3064,214455,--,--,--,020/025,035/050,--,73,02,A+,09,18
3065,214456,--,--,--,019/025,042/050,--,81,01,O,10,10
3066,210258A,--,--,--,PP,--,--,PP,00,P,00,00
3067,210250,--,--,--,PP,--,--,PP,00,P,00,00
3068,214441,025/050,036/050,061/100,--,--,--,61,04,A,08,32
3069,214442,020/050,021/050,041/100,--,--,--,41,04,P,04,16
3070,214443,025/050,024/050,049/100,--,--,--,49,04,C,05,20
3071,214444,021/050,039/050,060/100,--,--,--,60,04,A,08,32
3072,214445,033/050,032/050,065/100,--,--,--,65,04,A,08,32
3073,214446,--,--,--,021/025,021/050,--,56,01,B+,07,07
3074,214447,--,--,--,022/025,028/050,--,66,02,A,08,16
3075,214448,--,--,--,022/025,021/050,--,57,01,B+,07,07
